OBJECTID,SN_ID,WBenUse
424,05-1045,Agricultural
425,05-1045,Domestic
426,05-1046,StockWatering
427,05-1046,Agricultural
428,05-1046,Domestic
429,05-1047,Domestic
430,05-1047,Agricultural
431,05-1047,StockWatering
432,05-1048,Agricultural
433,05-1048,Domestic
434,05-1049,Agricultural
435,05-1049,StockWatering
436,05-1049,Domestic
437,05-105,StockWatering
438,05-105,Agricultural
439,05-1050,Other
440,05-1051,Domestic
441,05-1051,Agricultural
442,05-1051,StockWatering
443,05-1052,Domestic
444,05-1052,Agricultural
445,05-1052,StockWatering
446,05-1053,StockWatering
447,05-1053,Agricultural
448,05-1054,Domestic
449,05-1054,StockWatering
450,05-1054,Agricultural
451,05-1055,Domestic
452,05-1056,StockWatering
453,05-1056,Domestic
454,05-1056,Agricultural
455,05-1057,Other
456,05-1058,Domestic
457,05-1058,StockWatering
458,05-1058,Agricultural
459,05-1059,Other
460,05-106,Agricultural
461,05-1060,StockWatering
462,05-1060,Domestic
463,05-1060,Agricultural
464,05-1061,StockWatering
465,05-1061,Domestic
466,05-1061,Agricultural
467,05-1062,Municipal
468,05-1063,StockWatering
469,05-1063,Agricultural
470,05-1064,Domestic
471,05-1064,Agricultural
472,05-1064,StockWatering
473,05-1065,StockWatering
474,05-1065,Agricultural
475,05-1066,Domestic
476,05-1066,Agricultural
477,05-1067,StockWatering
478,05-1067,Agricultural
479,05-1068,Agricultural
480,05-1069,Domestic
481,05-107,Domestic
482,05-107,Agricultural
483,05-1070,StockWatering
484,05-1070,Domestic
485,05-1070,Agricultural
486,05-1071,Agricultural
487,05-1071,Domestic
488,05-1071,StockWatering
489,05-1072,Agricultural
490,05-1072,Domestic
491,05-1073,Agricultural
492,05-1073,Domestic
493,05-1074,Other
494,05-1075,Domestic
495,05-1075,StockWatering
496,05-1075,Agricultural
497,05-1076,Other
498,05-1077,Agricultural
499,05-1077,StockWatering
500,05-1077,Domestic
501,05-1078,Other
502,05-1079,StockWatering
503,05-1079,Agricultural
504,05-1079,Domestic
505,05-108,Other
506,05-108,Domestic
507,05-1080,Agricultural
508,05-1080,Domestic
509,05-1080,StockWatering
510,05-1081,Agricultural
511,05-1081,StockWatering
512,05-1081,Domestic
513,05-1082,StockWatering
514,05-1082,Agricultural
515,05-1082,Domestic
516,05-1083,Other
517,05-1084,Agricultural
518,05-1084,Domestic
519,05-1085,StockWatering
520,05-1085,Agricultural
521,05-1085,Domestic
522,05-1086,Other
523,05-1087,Other
524,05-1088,Agricultural
525,05-1088,Domestic
526,05-1089,Agricultural
